file,duration,sample_rate,rms,peak,clipping_ratio,speech_ratio,silence_ratio,snr_estimate_db,decay_slope_db_per_s,spectral_centroid_hz,rolloff85_hz,tier
asr_final_20260810_121355_338.wav,5.264,16000,0.166677,0.9999,4.7e-05,0.6298,0.3702,43.2,-55.6,745.7,1196.8,likely_quiet
asr_final_20260810_121358_182.wav,2.56,16000,0.156118,1.0,4.9e-05,0.6417,0.3583,25.65,80.6,604.6,710.2,likely_quiet
asr_final_20260810_121551_156.wav,2.96,16000,0.139277,0.9993,2.1e-05,0.7279,0.2721,37.39,-174.8,800.7,1114.5,likely_quiet
asr_final_20260810_121555_961.wav,2.96,16000,0.098415,0.9971,0.0,0.619,0.381,69.61,-415.0,866.2,1438.2,likely_quiet
asr_final_20260810_121610_616.wav,2.96,16000,0.08776,0.8278,0.0,0.8639,0.1361,86.14,,728.3,1202.4,likely_quiet
asr_final_20260810_121638_978.wav,2.96,16000,0.050498,0.6268,0.0,0.5,0.5,57.34,-164.3,952.2,1678.7,likely_quiet
asr_final_20260810_122408_958.wav,2.96,16000,0.154712,1.0,6.3e-05,0.6293,0.3707,24.91,27.7,667.8,823.3,likely_quiet
asr_final_20260810_122509_701.wav,2.96,16000,0.1198,0.9842,0.0,0.6667,0.3333,55.71,-236.4,774.9,819.6,likely_quiet
asr_final_20260810_122540_287.wav,3.472,16000,0.15502,0.9857,0.0,0.7855,0.2145,50.79,-126.5,815.5,1047.2,likely_quiet
asr_final_20260810_122545_957.wav,2.96,16000,0.057826,0.9865,0.0,0.2313,0.7687,70.16,-155.4,839.8,1193.9,likely_quiet
asr_final_20260810_122630_346.wav,2.96,16000,0.090118,0.7341,0.0,0.6633,0.3367,48.67,-42.2,528.3,589.9,likely_quiet
asr_final_20260810_122710_687.wav,3.216,16000,0.204798,1.0,7.8e-05,0.6969,0.3031,30.51,-7.3,711.8,877.8,likely_quiet
asr_final_20260810_122716_103.wav,2.96,16000,0.112126,0.9978,0.0,0.4966,0.5034,73.24,-645.1,583.7,740.5,likely_quiet
asr_final_20260810_122720_506.wav,2.96,16000,0.060342,0.7933,0.0,0.6531,0.3469,65.53,-252.2,858.1,1459.1,likely_quiet
